Materia: MAT101 - CALCULO I
Grupo: 3
Gestion: 2/2026

Codigo SIS,CI,Nombre Completo
202800160,8000160,HUANCA DELGADO ANA
202800161,8000161,VARGAS RIOS MATEO
202800162,8000162,CALLE JIMENEZ FRANCISCO
202800163,8000163,HUANCA GONZALEZ ROSA
202800164,8000164,VEGA FERNANDEZ SILVIA
202800165,8000165,AGUILAR MARTINEZ BRAYAN
202800166,8000166,QUISPE VEGA ANA
202800167,8000167,HUANCA QUIROGA ALAN
202800168,8000168,CABRERA LOPEZ CRISTIAN
202800169,8000169,CONDORI TORRES IVAN
202800170,8000170,FLORES BARRIOS REBECA
202800171,8000171,CAMACHO RIOS SILVIA
202800172,8000172,ORELLANA MONTANO LUIS
202800173,8000173,ESPINOZA ZARATE JULIO
202800174,8000174,SALAZAR CAMACHO DIEGO
202800175,8000175,TORRES ROJAS REBECA
202800176,8000176,ZARATE FERNANDEZ FERNANDA
202800177,8000177,MORALES URIBE DANIEL
202800178,8000178,IBARRA RIOS HUGO
202800179,8000179,URIBE SALAZAR MARIO
202800180,8000180,AGUILAR ORELLANA MIGUEL
202800181,8000181,IBARRA CESPEDES JULIO
202800182,8000182,FERNANDEZ AGUILAR WENDY
202800183,8000183,CALLE CONDORI ENRIQUE
202800184,8000184,CONDORI URIBE MARIA
202800185,8000185,ORTEGA ZARATE NICOLE
202800186,8000186,NAVARRO PEREZ KEVIN
202800187,8000187,JIMENEZ ESPINOZA CAMILA
202800188,8000188,ORELLANA GONZALEZ MONICA
202800189,8000189,BARRIOS MENDOZA BRAYAN
202800190,8000190,CASTRO CESPEDES WENDY
202800191,8000191,BARRIOS CABRERA SILVIA
202800192,8000192,RIOS MAMANI GABRIEL
202800193,8000193,LOPEZ MARTINEZ FERNANDA
202800194,8000194,SOTO HUANCA PAULA
202800195,8000195,FLORES CONDORI ANA
202800196,8000196,HUANCA CABRERA OSCAR
202800197,8000197,CORDERO REYES HECTOR
202800198,8000198,PEREZ MENDOZA KAREN
202800199,8000199,URIBE DELGADO OSCAR
202800200,8000200,NAVARRO CONDORI FRANCISCO
