Docente: Dr. Roberto Salazar Vargas
Email Docente: roberto.salazar@umss.edu.bo
Materia: INF110 - INTRODUCCION A LA PROGRAMACION
Grupo: 1
Gestion: 2/2026

Codigo SIS,CI,Nombre Completo
203000162,8200162,ROJAS MORALES WENDY
203000163,8200163,ORELLANA CHOQUE RICARDO
203000164,8200164,CONDORI CHOQUE MARIO
203000165,8200165,VELASCO QUISPE SAMUEL
203000166,8200166,URIBE CAMACHO SANTIAGO
203000167,8200167,AGUILAR AGUILAR MARIO
203000168,8200168,FERNANDEZ CHOQUE CARLOS
203000169,8200169,MAMANI SALAZAR MIGUEL
203000170,8200170,DOMINGUEZ MONTANO FRANCISCO
203000171,8200171,PINTO LOPEZ CARMEN
203000172,8200172,NINA GUTIERREZ MARIO
203000173,8200173,VELASCO GONZALEZ JULIO
203000174,8200174,CASTRO PEREZ WENDY
203000175,8200175,PINTO VELASCO ALEJANDRA
203000176,8200176,SANCHEZ CASTRO FRANCISCO
203000177,8200177,CAMACHO SANCHEZ ELENA
203000178,8200178,MARTINEZ VARGAS CARLOS
203000179,8200179,ORTEGA ARCE MARIA
203000180,8200180,CORDERO VEGA DANIEL
203000181,8200181,ESPINOZA URIBE HUGO
203000182,8200182,VELASCO QUISPE RODRIGO
203000183,8200183,CAMACHO MENDOZA REBECA
203000184,8200184,MAMANI CORDERO JULIO
203000185,8200185,ORELLANA PINTO CAMILA
203000186,8200186,CALLE REYES MARIO
203000187,8200187,DOMINGUEZ GONZALEZ MARCO
203000188,8200188,PEREZ ESPINOZA DIANA
203000189,8200189,RIOS BARRIOS SILVIA
203000190,8200190,BARRIOS VARGAS HUGO
203000191,8200191,MONTANO SANCHEZ JOSE
203000192,8200192,NINA PEREZ KAREN
203000193,8200193,SALAZAR MAMANI ADRIANA
203000194,8200194,MARTINEZ CAMACHO DIANA
203000195,8200195,FERNANDEZ BARRIOS MIGUEL
203000196,8200196,DELGADO QUISPE MONICA
203000197,8200197,FERNANDEZ SANCHEZ ELENA
203000198,8200198,MAMANI VEGA FERNANDA
203000199,8200199,REYES MAMANI FERNANDA
203000200,8200200,CONDORI GONZALEZ ARTURO
