codigo_sis,ci,nombre_completo,sigla_materia,nombre_materia,grupo,gestion,email_docente
202400023,7000023,"Quispe Rodriguez Gabriela Camila",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400024,7000024,"Castillo Mamani Paola Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400025,7000025,"Romero Torrico Andres Elena",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400026,7000026,"Castillo Vargas Jorge Maria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400027,7000027,"Villarroel Rojas Fernando Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400028,7000028,"Alvarez Gomez Miguel Diego",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400029,7000029,"Alvarez Morales Fernando Rodrigo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400030,7000030,"Torrico Gomez Fernando Elena",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400031,7000031,"Rojas Gutierrez Fernando Pedro",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400032,7000032,"Perez Alvarez Juan Pedro",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400033,7000033,"Romero Perez Fernando Pedro",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400034,7000034,"Quispe Mamani Gabriela Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400035,7000035,"Lopez Castillo Juan Paola",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400036,7000036,"Lopez Gutierrez Ricardo Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400037,7000037,"Morales Vargas Maria Carlos",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400038,7000038,"Castillo Mamani Pedro Elena",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400039,7000039,"Alvarez Morales Gabriela Valeria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400040,7000040,"Mamani Gutierrez Jorge Ricardo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400041,7000041,"Romero Morales Gabriela Ana",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400042,7000042,"Gutierrez Rodriguez Fernando Rodrigo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400043,7000043,"Gutierrez Fernandez Gabriela Pedro",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400044,7000044,"Quispe Mamani Lucia Sofia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400045,7000045,"Quispe Lopez Maria Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400046,7000046,"Mendoza Castillo Paola Sofia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400047,7000047,"Castillo Mendoza Diego Lucia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400048,7000048,"Torrico Mamani Elena Elena",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400049,7000049,"Flores Mendoza Diego Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400050,7000050,"Gomez Quispe Lucia Miguel",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400051,7000051,"Gutierrez Mamani Andres Lucia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400052,7000052,"Torrico Chavez Maria Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400053,7000053,"Castillo Vargas Valeria Ana",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400054,7000054,"Gutierrez Morales Gabriela Miguel",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400055,7000055,"Gomez Fernandez Andres Miguel",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400056,7000056,"Clarac Mamani Rodrigo Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400057,7000057,"Torrico Rodriguez Ricardo Camila",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400058,7000058,"Vargas Mendoza Juan Elena",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400059,7000059,"Mendoza Gomez Jorge Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400060,7000060,"Rojas Rojas Valeria Ana",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400061,7000061,"Castillo Vargas Ricardo Fernando",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400062,7000062,"Gutierrez Mamani Jorge Rodrigo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400063,7000063,"Castillo Perez Maria Juan",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400064,7000064,"Mendoza Quispe Carlos Pedro",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400065,7000065,"Rojas Quispe Elena Diego",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400066,7000066,"Rodriguez Rodriguez Fernando Maria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400067,7000067,"Vargas Lopez Gabriela Sofia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400068,7000068,"Morales Chavez Elena Gabriela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400069,7000069,"Castillo Rodriguez Elena Elena",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400070,7000070,"Torrico Alvarez Pedro Ricardo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400071,7000071,"Gomez Clarac Gabriela Juan",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400072,7000072,"Mamani Rojas Elena Paola",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400073,7000073,"Fernandez Romero Diego Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400074,7000074,"Torrico Flores Lucia Fernando",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400075,7000075,"Rojas Quispe Ricardo Miguel",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400076,7000076,"Fernandez Rodriguez Rodrigo Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400077,7000077,"Castillo Gomez Fernando Gabriela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400078,7000078,"Clarac Gomez Rodrigo Gabriela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400079,7000079,"Rojas Gutierrez Paola Camila",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400080,7000080,"Torrico Rojas Daniela Lucia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400081,7000081,"Flores Rodriguez Juan Diego",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400082,7000082,"Fernandez Morales Maria Fernando",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400083,7000083,"Torrico Lopez Maria Sofia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400084,7000084,"Romero Chavez Pedro Gabriela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400085,7000085,"Clarac Mamani Andres Valeria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400086,7000086,"Villarroel Lopez Elena Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400087,7000087,"Romero Quispe Jorge Pedro",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400088,7000088,"Perez Perez Carlos Paola",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400089,7000089,"Chavez Romero Ricardo Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400090,7000090,"Alvarez Villarroel Camila Maria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400091,7000091,"Villarroel Castillo Elena Valeria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400092,7000092,"Castillo Quispe Diego Paola",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400093,7000093,"Perez Mamani Gabriela Miguel",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400094,7000094,"Villarroel Clarac Jorge Diego",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400095,7000095,"Mendoza Gutierrez Juan Rodrigo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400096,7000096,"Mamani Morales Sofia Ricardo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400097,7000097,"Gutierrez Rojas Fernando Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400098,7000098,"Lopez Villarroel Elena Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400099,7000099,"Torrico Lopez Elena Paola",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400100,7000100,"Fernandez Quispe Rodrigo Fernando",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400101,7000101,"Fernandez Mamani Paola Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400102,7000102,"Chavez Fernandez Daniela Valeria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400103,7000103,"Romero Flores Juan Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400104,7000104,"Rojas Alvarez Camila Miguel",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400105,7000105,"Villarroel Perez Pedro Diego",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400106,7000106,"Mamani Rodriguez Ana Gabriela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400107,7000107,"Clarac Mamani Pedro Elena",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400108,7000108,"Rodriguez Villarroel Rodrigo Paola",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400109,7000109,"Castillo Gutierrez Juan Gabriela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400110,7000110,"Morales Rojas Carlos Fernando",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400111,7000111,"Villarroel Romero Ana Gabriela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400112,7000112,"Quispe Clarac Maria Ana",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400113,7000113,"Gutierrez Quispe Paola Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400114,7000114,"Lopez Castillo Jorge Lucia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400115,7000115,"Romero Fernandez Lucia Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400116,7000116,"Clarac Morales Maria Diego",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400117,7000117,"Clarac Villarroel Gabriela Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400118,7000118,"Villarroel Mendoza Sofia Diego",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400119,7000119,"Rodriguez Villarroel Juan Lucia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400120,7000120,"Chavez Perez Diego Sofia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400121,7000121,"Mamani Romero Andres Camila",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400122,7000122,"Mendoza Chavez Andres Lucia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400123,7000123,"Gutierrez Fernandez Jorge Fernando",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400124,7000124,"Chavez Chavez Pedro Rodrigo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400125,7000125,"Quispe Vargas Carlos Rodrigo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400126,7000126,"Fernandez Clarac Miguel Valeria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400127,7000127,"Villarroel Perez Jorge Maria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400128,7000128,"Quispe Alvarez Miguel Gabriela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400129,7000129,"Clarac Villarroel Carlos Valeria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400130,7000130,"Chavez Gomez Sofia Camila",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400131,7000131,"Mendoza Mendoza Jorge Fernando",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400132,7000132,"Fernandez Rodriguez Fernando Elena",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400133,7000133,"Rojas Villarroel Gabriela Gabriela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400134,7000134,"Fernandez Torrico Elena Maria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400135,7000135,"Gomez Flores Sofia Miguel",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400136,7000136,"Gomez Villarroel Sofia Camila",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400137,7000137,"Perez Rodriguez Paola Camila",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400138,7000138,"Chavez Rodriguez Maria Miguel",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400139,7000139,"Quispe Morales Rodrigo Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400140,7000140,"Mendoza Gutierrez Elena Maria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400141,7000141,"Flores Vargas Fernando Paola",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400142,7000142,"Chavez Clarac Sofia Lucia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400143,7000143,"Chavez Vargas Carlos Paola",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400144,7000144,"Chavez Lopez Maria Ana",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400145,7000145,"Villarroel Villarroel Valeria Carlos",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400146,7000146,"Torrico Chavez Daniela Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400147,7000147,"Mendoza Quispe Miguel Diego",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400148,7000148,"Alvarez Perez Ana Ricardo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400149,7000149,"Chavez Gomez Paola Fernando",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400150,7000150,"Gomez Quispe Andres Maria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400151,7000151,"Mendoza Perez Andres Valeria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400152,7000152,"Rojas Alvarez Gabriela Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400153,7000153,"Mendoza Lopez Ana Lucia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400154,7000154,"Clarac Morales Paola Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400155,7000155,"Villarroel Fernandez Elena Pedro",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400156,7000156,"Fernandez Fernandez Fernando Paola",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400157,7000157,"Gutierrez Fernandez Jorge Maria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400158,7000158,"Gutierrez Castillo Diego Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400159,7000159,"Gomez Castillo Ana Lucia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400160,7000160,"Vargas Flores Diego Juan",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400161,7000161,"Castillo Romero Gabriela Sofia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400162,7000162,"Gutierrez Mendoza Diego Diego",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400163,7000163,"Vargas Vargas Miguel Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400164,7000164,"Flores Chavez Diego Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400165,7000165,"Torrico Torrico Lucia Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400166,7000166,"Quispe Lopez Diego Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400167,7000167,"Flores Rodriguez Andres Pedro",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400168,7000168,"Vargas Torrico Diego Pedro",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400169,7000169,"Mendoza Alvarez Andres Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400170,7000170,"Castillo Castillo Valeria Maria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400171,7000171,"Fernandez Flores Ricardo Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400172,7000172,"Perez Chavez Jorge Elena",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400173,7000173,"Lopez Vargas Elena Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400174,7000174,"Lopez Rodriguez Elena Ana",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400175,7000175,"Quispe Lopez Fernando Paola",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400176,7000176,"Vargas Alvarez Miguel Sofia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400177,7000177,"Perez Gutierrez Paola Gabriela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400178,7000178,"Fernandez Morales Paola Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400179,7000179,"Mendoza Alvarez Gabriela Juan",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400180,7000180,"Fernandez Fernandez Valeria Diego",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400181,7000181,"Perez Romero Maria Rodrigo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400182,7000182,"Villarroel Rojas Sofia Lucia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400183,7000183,"Torrico Flores Gabriela Sofia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400184,7000184,"Mendoza Rojas Diego Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400185,7000185,"Morales Romero Carlos Pedro",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400186,7000186,"Perez Lopez Diego Juan",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400187,7000187,"Gutierrez Fernandez Camila Maria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400188,7000188,"Morales Vargas Diego Paola",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400189,7000189,"Alvarez Mendoza Rodrigo Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400190,7000190,"Chavez Fernandez Daniela Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400191,7000191,"Villarroel Vargas Maria Valeria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400192,7000192,"Chavez Lopez Elena Camila",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400193,7000193,"Romero Alvarez Carlos Ricardo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400194,7000194,"Clarac Villarroel Daniela Valeria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400195,7000195,"Rojas Chavez Gabriela Pedro",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400196,7000196,"Alvarez Villarroel Daniela Gabriela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400197,7000197,"Morales Torrico Jorge Lucia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400198,7000198,"Alvarez Chavez Juan Sofia",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
