Docente: Lic. Ana Morales Gutiérrez
Email Docente: ana.morales@umss.edu.bo
Materia: INF110 - INTRODUCCION A LA PROGRAMACION
Grupo: 1
Gestion: 2/2026

Codigo SIS,CI,Nombre Completo
202600041,7800041,PEREZ IBARRA IVAN
202600042,7800042,NINA FERNANDEZ TATIANA
202600043,7800043,HERRERA JIMENEZ LUIS
202600044,7800044,ORELLANA CAMACHO RODRIGO
202600045,7800045,RIOS ESPINOZA ENRIQUE
202600046,7800046,MAMANI RIOS REBECA
202600047,7800047,QUIROGA ROJAS ANDREA
202600048,7800048,CAMACHO SOTO CARMEN
202600049,7800049,CAMACHO MENDOZA ANDRES
202600050,7800050,BARRIOS AGUILAR RICARDO
202600051,7800051,HERRERA TORRES SILVIA
202600052,7800052,LOPEZ LIMACHI DIANA
202600053,7800053,SOTO SOTO PEDRO
202600054,7800054,CALLE CORDERO CLAUDIA
202600055,7800055,CALLE GONZALEZ SEBASTIAN
202600056,7800056,MONTANO CALLE RAUL
202600057,7800057,JIMENEZ CONDORI ISABELLA
202600058,7800058,MENDOZA BARRIOS RODRIGO
202600059,7800059,ALVAREZ RIOS WENDY
202600060,7800060,NINA BENITEZ LORENA
202600061,7800061,CONDORI DELGADO ANDRES
202600062,7800062,QUISPE DOMINGUEZ TERESA
202600063,7800063,VELASCO FERNANDEZ OSCAR
202600064,7800064,SOTO NINA MARIO
202600065,7800065,CORDERO MENDOZA JORGE
202600066,7800066,IBARRA CESPEDES GABRIEL
202600067,7800067,SALAZAR LOPEZ FRANCISCO
202600068,7800068,QUIROGA RIOS CLAUDIA
202600069,7800069,ORTEGA MENDOZA ENRIQUE
202600070,7800070,VEGA URIBE ISABELLA
202600071,7800071,CESPEDES AGUILAR NATALIA
202600072,7800072,HUANCA QUIROGA CECILIA
202600073,7800073,HERRERA QUISPE KAREN
202600074,7800074,ESPINOZA ZARATE SANTIAGO
202600075,7800075,ARCE SALAZAR MARIA
202600076,7800076,ARCE PEREZ MARIANA
202600077,7800077,ESPINOZA VEGA PEDRO
202600078,7800078,PEREZ ESPINOZA ROSA
202600079,7800079,ZARATE ESPINOZA CARLOS
202600080,7800080,QUISPE SANCHEZ TATIANA
202600081,7800081,ORTEGA MENDOZA KEVIN
202600082,7800082,SOTO VELASCO GABRIEL
202600083,7800083,QUISPE ORELLANA FRANCISCO
202600084,7800084,DELGADO FLORES FRANCISCO
202600085,7800085,GONZALEZ GONZALEZ MATEO
202600086,7800086,MORALES GUTIERREZ DIANA
202600087,7800087,LIMACHI SOTO PABLO
202600088,7800088,CAMACHO AGUILAR LUIS
202600089,7800089,DOMINGUEZ CHOQUE DIEGO
202600090,7800090,DELGADO GONZALEZ SILVIA
202600091,7800091,NAVARRO NAVARRO PAOLA
202600092,7800092,IBARRA GUTIERREZ KAREN
202600093,7800093,SANCHEZ LIMACHI NICOLE
202600094,7800094,ESPINOZA HUANCA PAOLA
202600095,7800095,DOMINGUEZ AGUILAR DIEGO
202600096,7800096,FERNANDEZ CORDERO CARMEN
202600097,7800097,LOPEZ FLORES OSCAR
202600098,7800098,COLQUE ORTEGA KEVIN
202600099,7800099,DOMINGUEZ LOPEZ NATALIA
202600100,7800100,ALVAREZ MAMANI MIGUEL
202600101,7800101,ORELLANA ORELLANA CLAUDIA
202600102,7800102,TORRES GUTIERREZ SAMUEL
202600103,7800103,JIMENEZ NAVARRO KEVIN
202600104,7800104,ORTEGA DOMINGUEZ MONICA
202600105,7800105,REYES VARGAS ROSA
202600106,7800106,DOMINGUEZ ARCE ROSA
202600107,7800107,CALLE QUIROGA JOHANA
202600108,7800108,DOMINGUEZ CALLE RODRIGO
202600109,7800109,MARTINEZ ESPINOZA MARIO
202600110,7800110,CAMACHO QUISPE JORGE
202600111,7800111,HERRERA VELASCO NATALIA
202600112,7800112,ARCE RIOS PAOLA
202600113,7800113,CABRERA FERNANDEZ ANA
202600114,7800114,CESPEDES ARCE CAROLINA
202600115,7800115,VARGAS ROJAS CRISTIAN
202600116,7800116,CESPEDES VEGA NICOLAS
202600117,7800117,QUISPE ROJAS ARTURO
202600118,7800118,IBARRA CESPEDES HUGO
202600119,7800119,LIMACHI VARGAS RAUL
202600120,7800120,ALVAREZ LIMACHI ELENA
202600121,7800121,ESPINOZA MENDOZA DIEGO
202600122,7800122,CALLE ROJAS ALEJANDRA
202600123,7800123,MORALES ESPINOZA GABRIEL
202600124,7800124,CONDORI TORRES PAOLA
202600125,7800125,HUANCA MENDOZA RODRIGO
202600126,7800126,CABRERA DELGADO RAUL
202600127,7800127,ALVAREZ CESPEDES WENDY
202600128,7800128,CESPEDES GONZALEZ RAUL
202600129,7800129,ROJAS HERRERA CAMILA
202600130,7800130,REYES SALAZAR SOFIA
202600131,7800131,SANCHEZ TORRES FERNANDA
202600132,7800132,VEGA ZARATE NICOLAS
202600133,7800133,CAMACHO MONTANO NICOLAS
202600134,7800134,CALLE NINA CLAUDIA
202600135,7800135,DOMINGUEZ FERNANDEZ ERNESTO
202600136,7800136,SANCHEZ CASTRO ENRIQUE
202600137,7800137,ZARATE BARRIOS PEDRO
202600138,7800138,MONTANO ROJAS GABRIEL
202600139,7800139,REYES HUANCA RODRIGO
202600140,7800140,SALAZAR ALVAREZ ENRIQUE
202600141,7800141,ESPINOZA PINTO ANDRES
202600142,7800142,MENDOZA CASTRO FERNANDA
202600143,7800143,ARCE SALAZAR CECILIA
202600144,7800144,GUTIERREZ IBARRA DANIEL
202600145,7800145,URIBE CONDORI ANA
202600146,7800146,MORALES ORTEGA ANA
202600147,7800147,CESPEDES GONZALEZ PAOLA
202600148,7800148,BARRIOS SALAZAR ADRIANA
202600149,7800149,CABRERA REYES PABLO
202600150,7800150,QUISPE LOPEZ FERNANDA
202600151,7800151,FLORES BENITEZ SEBASTIAN
202600152,7800152,REYES ZARATE SEBASTIAN
202600153,7800153,DELGADO CESPEDES PABLO
202600154,7800154,SANCHEZ LOPEZ PAOLA
202600155,7800155,MAMANI CASTRO SOFIA
202600156,7800156,PEREZ NAVARRO FRANCISCO
202600157,7800157,MORALES URIBE SAMUEL
202600158,7800158,PEREZ BENITEZ MARIANA
202600159,7800159,CHOQUE ZARATE MATEO
202600160,7800160,ESPINOZA BARRIOS PATRICIA
202600161,7800161,MORALES AGUILAR PATRICIA
202600162,7800162,CHOQUE CAMACHO TATIANA
202600163,7800163,BENITEZ HERRERA JULIO
202600164,7800164,MARTINEZ ARCE CLAUDIA
202600165,7800165,CASTRO GONZALEZ CLAUDIA
202600166,7800166,MORALES SOTO DIANA
202600167,7800167,GUTIERREZ RIOS ARTURO
202600168,7800168,HERRERA MAMANI TATIANA
202600169,7800169,ROJAS CASTRO MATEO
202600170,7800170,ALVAREZ QUIROGA DIANA
202600171,7800171,CONDORI GUTIERREZ ISABELLA
202600172,7800172,CESPEDES ZARATE JORGE
202600173,7800173,CESPEDES HERRERA ARTURO
202600174,7800174,CALLE URIBE RAUL
202600175,7800175,VARGAS CHOQUE PABLO
202600176,7800176,SALAZAR IBARRA MONICA
202600177,7800177,FLORES CESPEDES MATEO
202600178,7800178,CAMACHO REYES MIGUEL
202600179,7800179,CABRERA VELASCO SEBASTIAN
202600180,7800180,CHOQUE SALAZAR RAUL
202600181,7800181,URIBE TORRES PEDRO
202600182,7800182,GUTIERREZ ORELLANA NICOLAS
202600183,7800183,LIMACHI HUANCA LORENA
202600184,7800184,CAMACHO ORTEGA ALAN
202600185,7800185,COLQUE ORELLANA TATIANA
202600186,7800186,CESPEDES FERNANDEZ PAULA
202600187,7800187,CALLE CESPEDES HECTOR
202600188,7800188,FERNANDEZ CORDERO JULIO
202600189,7800189,CAMACHO URIBE OSCAR
202600190,7800190,DELGADO NAVARRO SANTIAGO
202600191,7800191,BENITEZ CASTRO DANIEL
202600192,7800192,COLQUE CABRERA PAOLA
202600193,7800193,LIMACHI FLORES ELENA
202600194,7800194,VEGA PINTO MATEO
202600195,7800195,NINA CHOQUE REBECA
202600196,7800196,JIMENEZ AGUILAR PAOLA
202600197,7800197,CORDERO BARRIOS PEDRO
202600198,7800198,BARRIOS GUTIERREZ SOFIA
202600199,7800199,MARTINEZ DELGADO SANTIAGO
202600200,7800200,LIMACHI DOMINGUEZ CRISTIAN
